title
Top	Bottom	length	deuterium
754.81	755.614	0.804	-266.58
755.614	756.49	0.876	-265.21
756.49	757.43	0.94	-260.57
757.43	758.265	0.835	-264.63
758.265	759.145	0.88	-268.74
759.145	759.935	0.79	-271.42
759.935	760.665	0.73	-264.92
760.665	761.52	0.855	-255.2
761.52	762.4	0.88	-265.59
762.4	763.19	0.79	-268.47
763.19	764.035	0.845	-262.38
764.035	764.815	0.78	-262.76
764.815	765.705	0.89	-262.91
765.705	766.52	0.815	-268.9
766.52	767.435	0.915	-257.57
767.435	768.42	0.985	-260.58
768.42	769.242	0.822	-263.68
769.242	770.073	0.831	999999
770.073	770.95	0.877	-269.17
770.95	771.79	0.84	-262.22
771.79	772.66	0.87	-260.88
772.66	773.425	0.765	-263.89
773.425	774.115	0.69	-269.33
774.115	774.96	0.845	-269.69
774.96	775.815	0.855	-258.98
775.815	776.65	0.835	-262.17
776.65	777.485	0.835	-262.77
777.485	778.255	0.77	-273.09
778.255	779.14	0.885	-272.45
779.14	779.99	0.85	-268.7
779.99	780.8	0.81	-256.49
780.8	781.51	0.71	-261.15
781.51	782.34	0.83	-259.76
782.34	783.24	0.9	-255.57
783.24	784.055	0.815	-277.67
784.055	784.93	0.875	-271.44
784.93	785.87	0.94	-265.11
785.87	786.77	0.9	-258.26
786.77	787.72	0.95	-266.67
787.72	788.523	0.803	-248.5
788.523	789.32	0.797	-265.03
789.32	790.19	0.87	-267.82
790.19	790.96	0.77	-265.1
790.96	791.84	0.88	-263.18
791.84	792.64	0.8	-256.31
792.64	793.445	0.805	-266.55
793.445	794.26	0.815	-267.32
794.26	795.07	0.81	-269.07
795.07	795.94	0.87	-264.22
795.94	796.81	0.87	-264.89
796.81	797.635	0.825	-266.71
797.635	798.46	0.825	-264.15
798.46	799.255	0.795	-262.21
799.255	800.115	0.86	-262.42
800.115	800.969	0.854	-268.3
800.969	801.741	0.772	999999
801.741	802.58	0.839	-264.92
802.58	803.525	0.945	-267.26
803.525	804.345	0.82	-271.36
804.345	805.17	0.825	-263.99
805.17	806.015	0.845	-267.67
806.015	806.905	0.89	-267.88
806.905	807.685	0.78	-269.32
807.685	808.468	0.783	-265.52
808.468	809.245	0.777	-269.76
809.245	810.09	0.845	-269.13
810.09	810.95	0.86	-260.53
810.95	811.76	0.81	-258.12
811.76	812.481	0.721	-269.52
812.481	813.308	0.827	999999
813.308	814.14	0.832	-263.51
814.14	814.97	0.83	-268.51
814.97	815.865	0.895	-262.5
815.865	816.7	0.835	-269.99
816.7	817.545	0.845	-263.23
817.545	818.365	0.82	-266.9
818.365	819.075	0.71	-270.56
819.075	819.925	0.85	-266.25
819.925	820.69	0.765	-266.56
820.69	821.51	0.82	-266.52
