top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
1833.5,1834,-314.6,-39.85,4.2
1834,1834.5,-319.9,-40.82,6.7
1834.5,1835,-307.8,-39.06,4.7
1835,1835.5,-311.3,-39.37,3.6
1835.5,1836,-311.4,-39.27,2.8
1836,1836.5,-317.6,-40.49,6.3
1836.5,1837,-309.4,-39.04,3
1837,1837.5,-295.5,-37.42,3.9
1837.5,1838,-315.5,-40.31,7
1838,1838.5,-312.2,-39.44,3.3
1838.5,1839,-306.2,-38.78,4
1839,1839.5,-317.6,-40.73,8.2
1839.5,1840,-309,-39.17,4.4
1840,1840.5,-311.3,-39.58,5.3
1840.5,1841,-301.5,-38.14,3.6
1841.01,1841.5,-313.9,-39.89,5.2
1841.5,1842.01,-313.6,-39.81,4.9
1842.01,1842.5,-313.5,-39.73,4.3
1842.5,1843.05,-319.7,-40.8,6.7
1843.05,1843.5,-301.6,-38.3,4.8
1843.5,1844,-308,-38.84,2.8
1844,1844.5,-314.2,-39.8,4.2
1844.5,1845,-323.5,-41.15,5.7
1845,1845.5,-315.6,-40.17,5.7
1845.5,1846,-314.4,-39.96,5.3
1846,1846.5,-318,999999,999999
1846.5,1847,-307.6,999999,999999
1847,1847.5,-326.7,-41.33,3.9
1847.5,1848.01,-302.5,-38.61,6.4
1848.01,1848.5,-317.5,-40.22,4.3
1848.5,1849,-312.4,-39.8,6
1849,1849.5,-316.5,-40.15,4.7
1849.5,1850,-322.2,-41.07,6.4
1850,1850.5,-315.7,-40.4,7.5
1850.5,1851,-325.9,-41.58,6.7
1851,1851.5,-312.2,-39.83,6.5
1851.5,1852,-310.3,-39.19,3.3
1852,1852.5,-316.8,-40.14,4.3
1852.5,1853,-315.2,-39.85,3.6
1853,1853.5,-296.4,-37.87,6.5
1853.5,1854,-307.1,-38.82,3.5
1854,1854.5,-307.4,-38.85,3.4
1854.5,1855,-306.2,-38.92,5.2
1855,1855.5,-305.7,-38.83,5
1855.5,1856,-324.1,-41.08,4.6
1856,1856.5,-315.7,-39.96,3.9
1856.5,1857,-307.8,-39.32,6.8
1857,1857.5,-326.7,-41.57,5.8
1857.5,1858,-322.6,-40.96,5
1858,1858.5,-322.1,-40.99,5.8
1858.5,1859,-310.3,-39.34,4.4
1859,1859.5,-321.7,-41.04,6.6
1859.5,1860,-320,-40.44,3.5
1860,1860.5,-313.5,-39.62,3.5
1860.5,1861.01,-317.8,-40.21,3.9
1861.01,1861.5,-318.7,-40.38,4.3
1861.5,1862,-317.6,-40.37,5.4
1862,1862.5,-322.7,-41.17,6.6
1862.5,1863,-317.7,-40.58,7
1863,1863.5,-316.5,-40.06,4
1863.5,1864,-313.4,-39.78,4.8
1864,1864.5,-312.3,-39.66,5
1864.5,1865,-305.9,-39.05,6.5
1865,1865.5,-316.8,-40.37,6.1
1865.5,1866,-317.6,-40.17,3.7
1866,1866.5,-311.2,-39.7,6.4
1866.5,1867,-318.4,-40.59,6.3
1867,1867.5,-307.4,-39.04,4.9
1867.5,1868,-314.6,-40.08,6
1868,1868.5,-308.3,-39.07,4.2
1868.5,1869,-310.9,-39.38,4.1
1869,1869.5,-321.3,-41.18,8.2
1869.5,1870,-322,-40.94,5.6
1870,1870.5,-308.2,-38.9,3.1
1870.5,1871,-314.6,-40.17,6.7
1871,1871.5,-311.1,-39.41,4.2
1871.5,1872,-314.2,-40.07,6.3
1872,1872.5,-313.3,-39.55,3.1
1872.5,1873,-306.5,-38.64,2.6
1873,1873.5,-308.6,-38.92,2.7
1873.5,1874,-327.5,-41.63,5.6
1874,1874.5,-305.4,-38.67,4
1874.5,1875,-318.2,-40.62,6.8
1875,1875.5,-316.3,-39.96,3.3
1875.5,1876,-316,-40.42,7.3
1876,1876.5,-313.2,-40.1,7.5
1876.5,1877,-313.5,-40.13,7.6
1877,1877.5,-314.2,-40.23,7.6
1877.5,1878,-303.5,-38.82,7.1
1878,1878.5,-312.1,-39.64,5
1878.5,1879,-304.6,-38.78,5.6
1879,1879.5,-300,-37.95,3.6
1879.5,1880,-306.4,-38.95,5.2
1880,1880.5,-296.6,-37.61,4.2
1880.5,1881,-304.1,-38.56,4.4
1881,1881.5,-315.3,-39.99,4.6
1881.5,1882,-309.1,-39.09,3.6
1882,1882.5,-314.1,-39.61,2.8
1882.5,1883,-320.4,-40.59,4.4
1883,1883.5,-315.1,-39.92,4.3
1883.5,1884,-318.1,-39.98,1.7
1884,1884.5,-307.5,-38.85,3.3
