top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
2649.5,2650,-281.5,-36.39,9.7
2650,2650.5,-285.8,-36.78,8.4
2650.5,2651,-281.7,-36.27,8.5
2651,2651.5,-287.1,-36.95,8.5
2651.5,2652,-284.8,-36.84,9.9
2652,2652.5,-286.7,-36.93,8.8
2652.5,2653,-283.6,-36.52,8.6
2653,2653.5,-286,-36.75,8
2653.5,2654,-284.8,-36.62,8.1
2654,2654.5,-284.5,-36.66,8.8
2654.5,2655.03,-285.5,-36.75,8.4
2655.03,2655.5,-287.3,-37.05,9
2655.5,2656,-286.8,-37.16,10.5
2656,2656.5,-284.9,-36.72,8.8
2656.5,2657,-285.6,-36.87,9.3
2657,2657.5,-284.8,-36.8,9.6
2658,2658.5,-284.3,-36.69,9.2
2658.5,2659,-284.1,-36.52,8
2659,2659.5,-282.2,-36.49,9.7
2659.5,2660,-284.1,-36.67,9.3
2660,2660.5,-285.8,-36.96,9.9
2660.5,2661,-282.7,-36.53,9.6
2661,2661.5,-278.1,-35.76,8
2661.5,2662,-279.9,-36.08,8.7
2663,2663.5,-284.3,-36.79,9.9
2663.5,2664,-281.8,-36.51,10.3
2664,2664.5,-285.7,-37.01,10.4
2664.5,2665,-280.1,-36.17,9.3
2665,2665.5,-276.5,-35.66,8.8
2665.5,2666,-279.9,-36.15,9.3
2666,2666.5,-281.4,-36.3,9
2666.5,2667,-276.9,-35.6,7.9
2667,2667.5,-282.2,-36.36,8.7
2667.5,2668,-284.2,-36.72,9.5
2668,2668.5,-283.5,-36.56,9
2668.5,2669,-280.2,-36.17,9.2
2669,2669.5,-280.6,-36.2,9.1
2669.5,2670,-282.4,-36.41,8.8
2670,2670.5,-279.9,-36.08,8.8
2670.5,2671,-285.6,-36.86,9.3
2671,2671.5,-281.9,-36.23,8
2671.5,2672,-284.8,-36.71,8.9
2672,2672.5,-281.3,-36.17,8
2672.5,2673,-280.7,-36.14,8.5
2673,2673.5,-277.4,-35.36,5.5
2673.5,2674,-279,-35.7,6.6
2674,2674.5,-275.4,-35.24,6.6
2674.5,2675,-279.1,-35.73,6.7
2678,2678.5,-284.5,-36.49,7.5
2678.5,2679,-282.9,-36.32,7.7
2679,2679.5,-299.2,-38.65,10
2679.5,2680,-297.5,-38.35,9.3
2680,2680.5,-298.9,-38.66,10.4
2680.5,2681,-295.9,-38.21,9.8
2681,2681.5,-300.7,-38.87,10.2
2681.5,2682,-304.2,-39.26,9.8
2682,2682.5,-299.9,-38.8,10.5
2682.5,2683,-303.4,-39.11,9.5
2683,2683.5,-297.6,-38.3,8.8
2683.5,2684,-302.8,-38.96,8.9
2684,2684.5,-302.4,-38.91,8.9
2684.5,2685,-304.1,-39.1,8.7
2685,2685.5,-305.5,-39.36,9.4
2685.5,2686,-305.8,-39.21,7.9
2686,2686.5,-306.4,-39.48,9.5
2686.5,2687,-306.8,-39.49,9.1
2687,2687.5,-307.3,-39.39,7.8
2687.5,2688,-308.7,-39.52,7.5
2688,2688.5,-311.2,-40.09,9.5
2688.5,2689,-313.8,-40.46,9.9
2689,2689.5,-310.6,-39.74,7.4
2689.5,2690,-310,-39.71,7.7
2690,2690.5,-304.6,-38.97,7.1
2690.5,2691,-310.1,-39.7,7.5
2691.01,2691.5,-308.3,-39.59,8.4
2691.5,2692,-305.2,-39.22,8.6
2692,2692.5,-294.2,-37.67,7.1
2692.5,2693,-297.2,-37.78,5.1
2693.01,2693.5,-304.1,-38.84,6.6
2693.5,2694,-299.5,-38.13,5.5
2694,2694.5,-296.8,-37.93,6.6
2694.5,2695,-297.2,-38.08,7.4
2695,2695.5,-296,-37.89,7.1
2695.5,2696,-292.2,-37.34,6.5
2697,2697.5,-295.7,-37.79,6.6
2697.5,2698,-298.4,-38.49,9.5
2698,2698.5,-298.6,-38.33,8
2698.5,2699,-293.6,-37.84,9.1
2699,2699.5,-292.6,-37.72,9.1
2699.5,2700,-294.1,-37.53,6.1
2700,2700.5,-293.2,-37.69,8.3
2700.5,2701,-289.5,-37.3,8.9
2701,2701.5,-290.5,-37.16,6.8
2701.5,2702,-291.8,-37.22,5.9
2702,2702.5,-290.6,-37.11,6.3
2702.5,2703,-291.7,-37.38,7.4
2703,2703.5,-294.7,-37.76,7.4
2703.5,2704,-295.8,-37.96,7.9
2704,2704.5,-298.1,-38.26,8
2704.5,2705,-303.2,-39.04,9.2
2705,2705.5,-303.8,-38.79,6.5
2705.5,2706,-301.1,-38.38,6
2706,2706.5,-300.6,-38.32,6
2706.5,2707,-303.6,-38.68,5.9
2707,2707.5,-303.8,-38.72,5.9
2707.5,2708,-301.7,-38.52,6.4
2708,2708.5,-301.3,-38.57,7.2
2708.5,2709,-304.4,-38.92,6.9
2709,2709.5,-301.8,-38.62,7.1
2709.5,2710,-307.8,-39.31,6.7
2710,2710.5,-301.9,-38.75,8.1
2710.5,2711,-307.8,-39.49,8.2
2711,2711.5,-306.3,-39.07,6.3
2711.5,2712,-302.8,-38.82,7.8
2712,2712.5,-304,-39.12,8.9
2712.5,2713,-306.3,-39.34,8.4
2713,2713.5,-303.1,-38.92,8.3
2713.5,2714,-307.1,-39.47,8.7
2714,2714.5,-300.7,-38.61,8.1
2714.5,2715.03,-301.7,-38.74,8.2
2715.03,2715.5,-306.1,-39.45,9.5
2715.5,2716,-306.2,-39.53,10.1
2716,2716.5,-307.7,-39.67,9.7
2716.5,2717,-302.2,-38.96,9.4
2717,2717.5,-305.9,-39.19,7.6
2717.5,2718,-302.1,-38.8,8.3
2718,2718.5,-301.8,-38.83,8.8
2718.5,2719,-302.6,-38.89,8.6
2719,2719.5,-298.2,-38.3,8.2
2719.5,2720,-304.4,-39.33,10.3
2720,2720.5,-301.8,-38.87,9.2
2720.5,2721,-301.4,-38.62,7.6
2721,2721.5,-300.8,-38.61,8.1
2721.5,2722,-301.8,-38.83,8.9
2723,2723.5,-300.1,-38.51,8
2723.5,2724,-302.6,-38.9,8.6
2724,2724.5,-299.1,-38.45,8.5
2724.5,2725,-296.4,-38.21,9.2
2725,2725.5,-300,-38.81,10.5
2725.5,2726,-298.6,-38.61,10.2
2726,2726.5,-299.9,-38.64,9.3
2726.5,2727,-298.4,-38.46,9.3
2727,2727.5,-296.8,-38.2,8.7
2727.5,2728,-299.2,-38.67,10.1
2728,2728.5,-298.7,-38.63,10.3
2728.5,2729,-299.3,-38.62,9.6
2729,2729.5,-296,-38.14,9.1
2729.5,2730,-298.6,-38.45,9
2730,2730.5,-296,-38.72,13.8
2730.5,2731.02,-292.8,-38.12,12.1
2731.02,2731.52,-294.3,-38.09,10.4
2731.52,2732.02,-294,-38.01,10.1
2732.02,2732.52,-292,-37.75,10
2732.52,2733.02,-292.9,-37.93,10.5
2733.02,2733.52,-294.2,-38.26,11.9
2733.52,2734.02,-289.5,-37.33,9.1
2734.02,2734.52,-289.5,-37.31,9
2734.52,2735.02,-287.8,-37.1,8.9
2735.02,2735.5,-291.6,-37.76,10.5
2735.5,2736,-289.8,-37.53,10.4
2736,2736.5,-290.1,-37.5,9.9
2736.5,2737,-288.9,-37.39,10.2
2737,2737.5,-286.6,-37.08,10.1
2737.5,2738,-288.6,-37.03,7.6
2738,2738.5,-285.6,-37.17,11.8
2738.5,2739,-283.3,-36.65,9.9
2739,2739.5,-285.6,-36.92,9.7
2739.5,2740,-283.8,-36.55,8.6
2740,2740.5,-288.9,-36.56,3.6
2740.5,2741,-285.3,-36.78,8.9
2741,2741.5,-284.5,-36.57,8.1
2741.5,2742,-282.4,-36.36,8.5
2742,2742.5,-281.9,-36.42,9.5
2742.5,2743,-280.8,-36.13,8.3
2743,2743.5,-278.5,-35.94,9
2743.5,2744,-281.4,-36.25,8.7
2744,2744.5,-279.4,-36.03,8.8
2744.5,2745,-280.1,-36.16,9.2
2745,2745.5,-280.6,-36.22,9.2
2745.5,2746,-277.4,-35.87,9.5
2747,2747.5,-280.2,-36.11,8.7
2747.5,2748,-282.8,-36.4,8.3
2749.02,2749.52,-299.5,-38.89,11.6
2749.52,2750.02,-297.1,-38.66,12.1
2750.02,2750.52,-301.4,-38.99,10.5
2750.52,2751.02,-294.5,-38.22,11.2
2751.02,2751.52,-294.5,-38.27,11.7
2751.52,2752.02,-297.4,-38.62,11.5
2752.02,2752.52,-293.3,-38.28,12.9
2752.52,2753.02,-294.3,-38.28,11.9
2753.02,2753.52,-296.1,-38.35,10.7
2753.52,2754,-296.4,-38.46,11.3
2754,2754.5,-288.2,-37.27,9.9
2754.5,2755,-293.5,-38.25,12.5
2755,2755.5,-293.4,-38.09,11.3
2755.5,2756,-300.5,-39.03,11.8
2756,2756.5,-299.2,-38.89,11.9
2756.5,2757,-300.1,-39.25,13.9
2758,2758.5,-284,-36.82,10.6
2758.5,2759,-294.6,-38.02,9.5
2759,2759.5,-312,-40.41,11.3
2759.5,2760,-307,-39.79,11.4
2760,2760.5,-307.8,-39.75,10.2
2760.5,2761,-290,-37.34,8.7
2762,2762.5,-296.5,-37.97,7.2
2762.5,2763,-293.8,-37.52,6.3
2763,2763.5,-298.6,-38.5,9.4
2763.5,2764,-303.8,-39.17,9.5
2764,2764.5,-295,-37.87,8
2764.5,2765,-292.3,-37.47,7.4
2765,2765.5,-294.6,-37.83,8.1
2765.5,2766,-291.1,-37.59,9.6
2766,2766.5,-291.5,-37.59,9.2
2766.5,2767,-293.4,-37.78,8.8
2767,2767.5,-288.6,-37.16,8.7
2767.5,2768,-288.5,-37.17,8.8
2768,2768.5,-281.1,-36.44,10.4
2768.5,2769,-279.3,-36.04,9
2769,2769.5,-285.7,-36.85,9.1
2769.5,2770,-288.8,-37.27,9.3
2770,2770.5,-294,-37.72,7.8
2770.5,2771,-295.8,-38.23,10.1
2771,2771.5,-285.6,-36.97,10.1
2771.5,2772,-272.1,-35.15,9
2772,2772.5,-278.3,-35.53,5.9
2772.5,2773.02,-277.9,-35.7,7.7
2773.02,2773.52,-279,-36.35,11.8
2773.52,2774.02,-285.8,-37.08,10.8
2774.02,2774.52,-286.5,-37.07,10.1
2774.52,2775.02,-289.4,-37.15,7.8
2775.02,2775.52,-293.1,-37.65,8.1
2775.52,2776.02,-293.1,-37.78,9.1
2776.02,2776.52,-293.3,-37.8,9.1
2776.52,2777.02,-293.8,-37.72,7.9
2777.02,2777.52,-295.9,-37.86,7
2777.52,2778.02,-295.6,-37.72,6.1
2778.02,2778.52,-298.3,-38.95,13.3
2778.52,2779,-296.7,-38.08,8
2779,2779.5,-294.7,-38.14,10.4
2779.5,2780,-295.1,-37.73,6.8
2780,2780.5,-292.5,-37.39,6.6
2780.5,2781,-295.1,-38.5,13
2781,2781.5,-295.7,-38.55,12.7
2781.5,2782,-295.9,-38.11,9
2783,2783.5,-298.7,-38.48,9.2
2783.5,2784,-297.2,-38.17,8.2
2784,2784.5,-297.2,-38.33,9.4
2784.5,2785,-300.8,-38.69,8.8
2785,2785.5,-300.3,-38.78,9.9
2785.5,2786,-300.8,-38.8,9.7
2786,2786.5,-300.3,-38.67,9.1
2786.5,2787,-298.1,-38.39,9
2787,2787.5,-296.2,-38.12,8.8
2787.5,2788,-296.3,-38.24,9.7
2788,2788.5,-296.4,-38.24,9.5
2788.5,2789,-299.3,-38.58,9.4
2789,2789.5,-296.7,-38.4,10.5
2789.5,2790,-292,-37.62,9
2790,2790.5,-289.2,-37.28,9.1
2790.5,2791,-290,-37.37,9
2791,2791.5,-290.6,-37.47,9.1
2791.5,2792,-288.9,-36.94,6.6
2792,2792.5,-289.2,-37.4,9.9
2792.5,2793,-290.8,-37.35,8
2793,2793.5,-288.5,-37.4,10.7
2793.5,2794,-291.3,-37.72,10.5
2794,2794.5,-291.9,-37.7,9.7
2794.5,2795,-293.2,-37.65,8
2795,2795.5,-293.5,-37.85,9.3
2795.5,2796,-292.5,-37.94,11
2797,2797.5,-292.8,-37.86,10.1
2797.5,2798,-292.5,-37.66,8.8
2798,2798.5,-292.5,-37.57,8.1
2798.5,2799,-291.7,-37.45,8
2799,2799.5,-294.4,-37.85,8.3
2799.5,2800,-300.8,-38.68,8.6
2800,2800.5,-301.6,-38.81,8.9
2800.5,2801,-302.4,-39.07,10.2
2803,2803.5,-307.8,-39.79,10.5
2803.5,2804,-305.8,-39.76,12.2
2805,2805.5,-280.4,-36.36,10.4
2805.5,2806,-280.1,-36.23,9.8
2807,2807.5,-310.4,-40.2,11.2
2807.5,2808,-311.1,-40.22,10.7
2808,2808.5,-308.1,-40.01,12
2808.5,2809,-310.7,-40.4,12.5
2809,2809.5,-304.6,-39.38,10.4
2809.5,2810,-310.1,-39.98,9.7
2810,2810.5,-308.1,-39.93,11.3
2810.5,2811,-309.1,-40.05,11.3
2811,2811.5,-308.5,-39.66,8.8
2811.5,2812,-311.9,-40.25,10.1
2812,2812.5,-299.9,-38.53,8.3
2812.5,2813,-299.4,-38.21,6.3
2813,2813.5,-298.8,-38.37,8.2
2813.5,2814,-302.8,-38.96,8.9
2814,2814.5,-303.9,-39.12,9.1
2814.5,2815,-301.1,-38.47,6.7
2816,2816.5,-282.8,-36.23,7
2816.5,2817,-281,-36.14,8.1
2817,2817.5,-283,-36.41,8.2
2817.5,2818,-284,-36.78,10.2
2818,2818.5,-282.2,-36.37,8.8
2818.5,2819.01,-281.9,-36.2,7.7
2820.01,2820.51,-283.9,-36.46,7.8
2820.51,2821.01,-281.2,-36.24,8.7
2821.12,2821.51,-284.1,-36.42,7.3
2821.51,2822.01,-285.1,-36.59,7.6
2822.01,2822.51,-284.7,-36.47,7
2822.51,2823.01,-285.9,-36.9,9.3
2823.01,2823.51,-284.1,-36.62,8.9
2823.51,2824.01,-285.5,-36.9,9.7
2824.01,2824.51,-290.7,-37.39,8.4
2824.51,2825,-279.4,-35.77,6.8
2825,2825.5,-278.7,-36.11,10.2
2825.5,2826,-286.6,-37,9.4
2826,2826.5,-285.2,-36.7,8.5
2826.5,2827,-282.7,-36.35,8.1
2827,2827.5,-280.9,-36.13,8.1
2827.5,2828,-284.5,-36.64,8.6
2828,2828.5,-285.7,-36.71,8
2828.5,2829,-286.7,-36.67,6.6
2829,2829.5,-299.1,-38.58,9.6
2829.5,2830,-297.8,-38.27,8.3
2831,2831.5,-286.6,-36.82,7.9
2831.5,2832,-283.4,-36.3,7
2832,2832.5,-283.1,-36.26,7
2832.5,2833,-281.4,-36.14,7.7
2833,2833.5,-284.2,-36.58,8.4
2833.5,2834,-297.7,-38.33,8.9
2834,2834.5,-289.1,-37.23,8.7
2834.5,2835,-279.2,-35.95,8.3
2835,2835.5,-281.6,-36.28,8.7
2835.5,2836,-287,-36.86,7.9
2836,2836.5,-284.9,-36.6,7.9
2836.5,2837,-282.9,-36.39,8.3
2837,2837.5,-289.3,-37.42,10
2837.5,2838,-279.7,-36.03,8.5
2838,2838.5,-283.5,-36.51,8.6
2838.5,2839,-284.5,-36.69,9
2839,2839.5,-291.1,-37.35,7.7
2839.5,2840,-268,-34.48,7.8
2840,2840.5,-254,-32.91,9.3
2840.5,2841,-255.8,-33.31,10.7
2841,2841.5,-257.8,-33.19,7.8
2841.5,2842,-253.9,-32.87,9.1
2842,2842.5,-255,-32.98,8.8
2842.5,2843,-255.3,-33.02,8.9
2843,2843.5,-254.8,-32.88,8.2
2843.5,2844,-256,-32.99,7.9
2844,2844.5,-256.3,-33.16,9
2844.5,2845,-251.4,-32.64,9.7
2845,2845.5,-246,-31.72,7.8
2845.5,2846,-242.6,-31.44,8.9
2847,2847.5,-248.7,-32.18,8.7
2847.5,2848,-252.7,-32.73,9.1
2850,2850.5,-290.5,-37.51,9.5
2850.5,2851,-293.7,-37.69,7.9
2851,2851.5,-293.2,-37.62,7.7
2851.5,2852,-294.1,-37.99,9.8
2852,2852.5,-300.2,-38.7,9.4
2852.5,2853,-292.2,-37.36,6.7
2853,2853.5,-287.6,-37.23,10.2
2853.5,2854,-283.9,-36.77,10.2
2854,2854.5,-256.6,-33.29,9.7
2854.5,2855,-243.2,-31.54,9.1
2856,2856.5,-299.6,-38.6,9.2
2856.5,2857,-294.9,-37.96,8.8
2857,2857.5,-296,-38.21,9.7
2857.5,2858,-297.5,-38.37,9.5
2858,2858.5,-287.3,-37.19,10.2
2858.5,2859,-287.8,-37.24,10.1
2859,2859.5,-285.4,-36.89,9.7
2859.5,2860,-271.5,-35.24,10.5
2860,2860.5,-242.5,-31.6,10.3
2860.5,2861,-245.7,-31.95,9.9
2863,2863.5,-286.2,-37.06,10.3
2863.5,2864,-287,-36.98,8.8
2864,2864.5,-287.1,-37.06,9.4
2864.5,2865,-284.6,-36.77,9.5
2865,2865.5,-287.7,-37.38,11.3
2865.5,2866,-286.7,-37.1,10.1
2867,2867.5,-284.1,-36.82,10.5
2867.5,2868,-288.1,-37.25,9.9
2868,2868.5,-284.5,-36.86,10.4
2868.5,2869,-298.7,-38.58,10
2869,2869.5,-297,-38.38,10
2869.5,2870,-292.5,-37.78,9.7
2870,2870.5,-283.8,-36.68,9.7
2870.5,2871,-283.8,-36.76,10.2
2871,2871.5,-284.1,-36.73,9.7
2871.5,2872,-284.2,-36.61,8.7
2872,2872.5,-291.4,-37.55,9
2872.5,2873,-296.1,-38.27,10.1
2873,2873.5,-293.1,-37.79,9.3
2873.5,2874,-292.2,-37.73,9.6
2875,2875.5,-288.1,-37.31,10.5
2875.5,2876,-282.9,-36.61,10
2876,2876.5,-282.5,-36.55,9.9
2876.5,2877,-281.9,-36.48,10
2877,2877.5,-282.9,-36.72,10.8
2877.5,2878,-285.3,-36.98,10.5
2878,2878.5,-290.5,-37.62,10.5
2878.5,2879,-293.9,-38.02,10.3
2879,2879.5,-294.9,-38.1,9.9
2879.5,2880,-291.1,-37.59,9.6
2880,2880.5,-289.3,-37.3,9.1
2880.5,2881,-293.3,-37.75,8.7
2881,2881.5,-287.7,-37.13,9.4
2881.5,2882,-287.4,-37.18,10.1
2883,2883.5,-248.1,-32.31,10.4
2883.5,2884,-288.9,-37.3,9.5
2884,2884.5,-285.9,-36.97,9.9
2884.5,2885,-287.5,-37.11,9.4
2885,2885.5,-293.1,-37.77,9.1
2885.5,2886,-285,-36.89,10.1
2886,2886.5,-287.7,-37.18,9.7
2886.5,2887,-262.8,-34.04,9.5
2887,2887.5,-281.3,-36.5,10.7
2887.5,2888,-282.9,-36.56,9.6
2888,2888.5,-284.9,-36.8,9.6
2888.5,2889,-284.8,-36.75,9.2
2889,2889.5,-283.2,-36.5,8.8
2889.5,2890,-289.3,-37.35,9.5
2890,2890.5,-277,-35.69,8.6
2890.5,2891,-265.8,-34.41,9.5
2893,2893.5,-298.3,-38.35,8.6
2893.5,2894,-298.8,-38.55,9.6
2894,2894.5,-281.1,-36.25,8.9
2894.5,2895,-278.3,-36.01,9.8
2895,2895.5,-283,-36.42,8.3
2895.5,2896,-283.5,-36.55,8.9
2897,2897.5,-304.9,-39.19,8.6
2897.5,2898,-306.6,-39.44,8.9
2898,2898.5,-314.2,-40.28,8.1
2898.5,2899,-306.9,-39.22,6.8
2899,2899.5,-310.8,-39.79,7.5
2899.5,2900,-311.6,-39.85,7.2
2900,2900.5,-315,-40.43,8.4
2900.5,2901,-315.6,-40.55,8.8
2901,2901.5,-310.4,-39.72,7.4
2901.5,2902,-315.7,-40.63,9.4
2902,2902.5,-314.9,-40.49,9
2902.5,2903,-317.8,-40.89,9.3
2903,2903.5,-316.5,-40.71,9.2
2903.5,2904,-317.4,-40.78,8.8
2904,2904.5,-316.3,-40.63,8.7
2904.5,2905,-317.9,-40.9,9.3
2905,2905.5,-318.5,-41.07,10.1
2905.5,2906,-317.9,-40.75,8.1
2906,2906.5,-320.9,-41.28,9.4
2906.5,2907.03,-312.9,-40.22,8.9
2907.03,2907.5,-319.4,-40.98,8.4
2907.5,2908,-312.5,-40.13,8.5
2908,2908.5,-315,-40.57,9.5
2908.5,2909,-311.7,-39.95,7.9
2909,2909.5,-313.9,-40.07,6.7
2909.5,2910,-309.2,-39.66,8.1
2910,2910.5,-310.2,-39.84,8.6
2910.5,2911,-309.3,-39.72,8.5
2911,2911.5,-309.2,-39.77,9
2911.5,2912,-310.1,-39.7,7.4
2912,2912.5,-308.2,-39.58,8.4
2912.5,2913,-307.5,-39.35,7.2
2913,2913.5,-300.3,-38.38,6.8
2913.5,2914,-307.6,-39.53,8.6
2914,2914.5,-301.5,-38.7,8.1
2914.5,2915,-297.4,-38.14,7.7
2915,2915.5,-306.8,-39.2,6.9
2915.5,2916,-307.8,-39.44,7.8
2916,2916.5,-305.2,-39.26,8.9
2916.5,2917,-308.7,-39.54,7.6
2917,2917.5,-308.9,-39.69,8.6
2917.5,2918,-313.8,-40.19,7.7
2918,2918.5,-314.2,-40.38,8.8
2918.5,2919,-312.4,-40.16,8.9
2919,2919.5,-303.6,-39.12,9.4
2919.5,2920,-307,-39.42,8.3
2920,2920.5,-306.5,-39.18,6.9
2920.5,2921,-293.9,-37.8,8.5
2923,2923.5,-290.4,-37.38,8.6
2923.5,2924,-305.7,-39.25,8.3
2924,2924.5,-305.9,-39.2,7.7
2924.5,2925,-311.4,-39.82,7.2
2925,2925.5,-308.2,-39.49,7.8
2925.5,2926,-308.8,-39.86,10.1
2926,2926.5,-308.5,-39.49,7.4
2926.5,2927,-302.4,-38.85,8.4
2927,2927.5,-312.9,-40.06,7.6
2927.5,2928,-316.3,-40.7,9.3
2928,2928.5,-311.7,-39.94,7.8
2928.5,2929,-308.7,-39.65,8.5
2929,2929.5,-309.2,-39.67,8.1
2929.5,2930,-312.2,-40.15,9
2930,2930.5,-313.1,-40.11,7.8
2930.5,2931,-315.9,-40.43,7.6
2931,2931.5,-314.2,-40.47,9.6
2931.5,2932,-309.3,-39.66,8
2932,2932.5,-310.7,-39.88,8.3
2932.5,2933,-309.4,-39.65,7.8
2933,2933.5,-306.2,-39.18,7.2
2933.5,2934,-306.1,-39.31,8.4
2934,2934.5,-317.5,-40.64,7.6
2934.5,2935,-318,-40.81,8.5
2935,2935.5,-309.5,-39.67,7.9
2935.5,2936,-307.1,-39.48,8.8
2936,2936.5,-308.3,-39.51,7.8
2936.5,2937,-309,-39.55,7.4
2937,2937.5,-308.6,-39.6,8.2
2937.5,2938,-308.9,-39.57,7.7
2938,2938.5,-309.4,-39.51,6.7
2938.5,2939,-309,-39.45,6.7
2939,2939.5,-307.2,-39.3,7.2
2939.5,2940,-309.3,-39.68,8.2
2940,2940.5,-312.9,-40.09,7.9
2940.5,2941,-309.8,-39.77,8.3
2941,2941.5,-313.2,-40.29,9.1
2941.5,2942.05,-310.8,-39.95,8.8
2943.11,2943.61,-304.5,-39.13,8.6
2943.61,2944.11,-306.7,-39.28,7.5
2944.11,2944.61,-311.4,-39.99,8.5
2944.61,2945.11,-311.2,-39.9,8
2945.11,2945.61,-309.3,-39.68,8.1
2945.61,2946.11,-300.1,-38.39,7
2947.11,2947.61,-308.1,-39.57,8.4
2947.61,2948,-308,-39.51,8.1
2949,2949.5,-256.8,-33.35,10
2949.5,2950,-244.3,-31.81,10.2
2950,2950.5,-295.6,-37.95,8
2950.5,2951,-305.1,-39.17,8.3
2953,2953.5,-250.8,-32.7,10.8
2953.5,2954.03,-288.3,-37.15,8.9
2954.03,2954.5,-254.6,-33,9.5
2954.5,2955,-250.6,-32.48,9.3
2955,2955.5,-241.7,999999,999999
2955.5,2956,-247.5,-32.22,10.2
2956,2956.5,-242.7,-31.62,10.3
2956.5,2957,-296.6,-38,7.4
2957,2957.5,-304.7,-39.15,8.5
2957.5,2958,-284.3,-36.63,8.8
2958,2958.5,-279.7,-35.67,5.6
2958.5,2959,-268.9,-34.94,10.7
2959,2959.5,-263.1,-34.22,10.6
2959.5,2960,-254.3,-32.91,9
2960,2960.5,-253.9,-32.93,9.5
2960.5,2961,-252.2,-32.92,11.1
2961,2961.5,-260.5,-33.8,9.9
2961.5,2962,-267.2,-34.55,9.2
2962,2962.5,-268.5,-34.77,9.6
2962.5,2963,-266,-34.59,10.8
2963,2963.5,-261.5,-34.03,10.8
2963.5,2964,-279.6,-36.11,9.3
2964,2964.5,-314.4,-40.42,8.9
2964.5,2965,-308.3,-39.62,8.7
2965,2965.5,-305.5,-39.33,9.1
2965.5,2966,-305.1,-39.12,7.9
2966,2966.5,-302.4,-38.68,7.1
2966.5,2967,-302.3,-38.63,6.8
2967,2967.5,-310.4,-39.78,7.8
2967.5,2968,-308.5,-39.62,8.5
2969,2969.5,-258,-33.52,10.1
2969.5,2970,-251.7,-32.71,10
2970,2970.5,-273.5,-35.4,9.7
2970.5,2971,-284.4,-36.63,8.6
2971,2971.5,-299.8,-38.33,6.8
2971.5,2972,-300.8,-38.36,6
2972,2972.5,-305,-39.02,7.1
2972.5,2973,-303.5,-38.9,7.7
2973,2973.5,-305.4,-39.13,7.7
2973.5,2974,-304.1,-38.84,6.6
2976,2976.5,-243.4,-31.64,9.7
2976.5,2977,-263.5,-33.91,7.8
2977,2977.5,-247.3,-32.18,10.2
2977.5,2978,-251.3,-32.58,9.4
2978,2978.5,-240.4,-31.53,11.9
2978.5,2979,-240.5,-31.52,11.6
2979,2979.5,-241.1,-31.54,11.3
2979.5,2980,-240.5,-31.37,10.5
2980,2980.5,-238.2,-31.17,11.1
2980.5,2981,-277.8,-36.03,10.5
2981,2981.5,-273.9,-35.59,10.9
2981.5,2982,-255.8,-33.22,10
2982,2982.5,-242.9,-31.62,10.1
2982.5,2983,-244,-31.85,10.8
2983,2983.5,-245.4,-32.32,13.2
2983.5,2984,-251.4,-32.77,10.7
2984,2984.5,-251.7,-32.73,10.1
2984.5,2985,-309.4,-39.57,7.1
2985,2985.5,-311.1,-39.89,8
2985.5,2986,-283.8,-36.72,9.9
2986,2986.5,-255.5,-33.38,11.5
2986.5,2987,-243.3,-31.73,10.5
2987,2987.5,-247.6,-32.21,10
2987.5,2988,-245.6,-32.02,10.5
2988,2988.5,-244.5,-32,11.5
2988.5,2989,-248,-32.26,10.1
2989,2989.5,-246,-32.01,10.1
2989.5,2990,-243.1,-31.6,9.7
2990,2990.5,-255.7,-33.2,9.8
2990.5,2991,-246.6,-32.08,10.1
2991,2991.5,-245.8,-32.12,11.2
2991.5,2992,-243,-31.75,11
2992,2992.5,-250.9,-32.47,8.9
2992.5,2993,-247,-32.11,9.9
2993,2993.5,-242.1,-31.52,10.1
2993.5,2994,-249.3,-32.31,9.2
2994,2994.5,-252.9,-32.74,9
2994.5,2995,-248.4,-32.3,10
2995,2995.5,-240.7,-31.34,10
2995.5,2996,-268.1,-34.84,10.7
2997,2997.5,-248.6,-32.37,10.3
2997.5,2998,-238.9,-31.22,10.9
2998,2998.5,-240.3,-31.12,8.7
2998.5,2999,-238.9,-30.97,8.9
2999,2999.5,-243.2,-31.77,11
2999.5,3000,-255,-33.15,10.2
3000,3000.5,-257.7,-33.48,10.1
3000.5,3001,-251.2,-32.63,9.8
3001,3001.5,-244.9,-31.82,9.7
3001.5,3002,-241,-31.42,10.3
3003,3003.5,-262.8,-34.09,9.9
3003.5,3004,-262.3,-33.74,7.6
3004,3004.5,-265.8,-34.37,9.2
3004.5,3005,-259.9,-33.49,8
3005,3005.5,-281.1,-36.32,9.5
3005.5,3006,-276.8,-35.76,9.3
3006,3006.5,-280.6,-36.02,7.6
3006.5,3007,-274.2,-35.33,8.5
3007,3007.5,-279.8,-35.98,8
3007.5,3008,-288.7,-37.13,8.3
3008,3008.5,-274.4,-35.44,9.1
3008.5,3009,-276.4,-35.54,7.9
3009,3009.5,-283.6,-36.41,7.7
3009.5,3010,-264.7,-33.98,7.2
3010,3010.5,-268.7,-34.78,9.5
3010.5,3011,-276.7,-35.68,8.8
3011,3011.5,-267,-34.48,8.8
3011.5,3012,-277.5,-35.79,8.9
3012,3012.5,-280.3,-36.13,8.7
3012.5,3013,-290.9,-37.75,11.1
